Tag_Number,Plant_Unit_Code,Subsystem_Description,Equipment_Service_Name,PID_Drawing_Reference,Instrument_Type,Measurement_Unit,Calibrated_Span,Design_Code_Standard,Metallurgy_Specification,Piping_Line_Size_Inches,Flange_Rating_ANSI,Design_Pressure_PSIG,Operating_Pressure_PSIG,Design_Temp_DegC,Operating_Temp_DegC,Safety_Integrity_Level,Voting_Logic,Normal_Operating_Value,Alarm_Low_PAL,Alarm_High_PAH,Trip_Low_PSLL,Trip_High_PSHH,Fail_Safe_Position,Four_Eyes_Auth_Required,Last_Calibration_Date,Next_Calibration_Due,Health_Integrity_Status,Assigned_Area_Engineer
03-SV-749B,Unit 03 - PFCCU,Fluid Catalytic Cracking & PRU,Unit 03 - PFCCU ASME VIII Safety Relief Valve Loop #749,PID-MRPL-FCCU-749-REV4.2,ASME VIII Safety Relief Valve,barg,Pop Set Pressure,API 610 / API 682 / IEC 61508,SA-387 Gr 11 Class 2 Alloy Steel,48,150# RF,727,585,520,457,SIL-1,1oo1,0.0,0.0,0.0,0.0,88.0,Fail Open (FO),TRUE,2024-12-30,2025-12-30,OPTIMAL (Normal In-Service Calibration),Er. Sunita Patil (EMP-2490)
03-MOV-750C,Unit 03 - PFCCU,Fluid Catalytic Cracking & PRU,Unit 03 - PFCCU Motor Operated Isolation Valve Loop #750,PID-MRPL-FCCU-750-REV4.2,Motor Operated Isolation Valve,Status,Full Stroke Open/Close,API 610 / API 682 / IEC 61508,SA-516 Gr 70 Boiler Quality,36,300# RF,1121,738,420,353,SIL-2,1oo2,1.04,0.0,1.0,0.0,1.0,Fail Locked (FL),TRUE,2024-05-14,2025-05-14,OPTIMAL (Normal In-Service Calibration),Er. R. K. Shenoy (EMP-3841)
06-LT-751D,Unit 06 - PPU,Polypropylene Polymer Plant,Unit 06 - PPU Level Radar Transmitter Loop #751,PID-MRPL-PPU-751-REV4.2,Level Radar Transmitter,%,0 - 100 %,API 610 / API 682 / IEC 61508,Titanium Grade 2 Seamless,12,2500# RTJ,1048,746,405,285,SIL-2,1oo2,51.82,35.0,75.0,20.0,85.0,N/A,TRUE,2024-11-01,2025-11-01,OPTIMAL (Normal In-Service Calibration),Er. M. B. Nayak (EMP-4102)
01-XV-752A,Unit 01 - CDU/VDU,Atmospheric & Vacuum Distillation,Unit 01 - CDU/VDU Emergency Shutdown (ESD) Valve Loop #752,PID-MRPL-CDU-752-REV4.2,Emergency Shutdown (ESD) Valve,Status,Trip Action Fast Stroke,API 610 / API 682 / IEC 61508,AISI 316L Stainless Steel,6,600# RF,1021,787,326,272,Non-SIL,1oo1,1.03,0.0,1.0,0.0,1.0,Fail Closed (FC),TRUE,2024-08-05,2025-08-05,OPTIMAL (Normal In-Service Calibration),Er. R. K. Shenoy (EMP-3841)
01-FT-753B,Unit 01 - CDU/VDU,Atmospheric & Vacuum Distillation,Unit 01 - CDU/VDU Flow Transmitter Loop #753,PID-MRPL-CDU-753-REV4.2,Flow Transmitter,MT/h,0 - 300 MT/h,API 610 / API 682 / IEC 61508,ASTM A743 Gr CA6NM (12% Cr),24,600# RF,930,605,320,227,Non-SIL,1oo1,181.64,130.0,220.0,100.0,245.0,N/A,FALSE,2024-05-07,2025-05-07,ALERT (Scheduled Inspection Window),Er. Sunita Patil (EMP-2490)
08-VT-754C,Unit 08 - SWRO,30 MLD Sea Water Desalination Facility,Unit 08 - SWRO Bearing Vibration Accelerometer Loop #754,PID-MRPL-SWRO-754-REV4.2,Bearing Vibration Accelerometer,mm/s RMS,0 - 25 mm/s,API 610 / API 682 / IEC 61508,ASTM A216 Gr WCB Cast Steel,3,300# RF,215,173,428,337,SIL-2,1oo2,2.09,1.0,4.5,0.5,7.0,N/A,TRUE,2024-12-01,2025-12-01,OPTIMAL (Normal In-Service Calibration),Er. Anand Rao (EMP-1829)
05-LT-755D,Unit 05 - SRU,Sulfur Recovery & Tail Gas Treatment,Unit 05 - SRU Level Radar Transmitter Loop #755,PID-MRPL-SRU-755-REV4.2,Level Radar Transmitter,%,0 - 100 %,API 610 / API 682 / IEC 61508,SA-516 Gr 70 Boiler Quality,30,600# RF,1081,664,385,270,SIL-3,2oo3,53.48,35.0,75.0,20.0,85.0,N/A,TRUE,2024-06-09,2025-06-09,OPTIMAL (Normal In-Service Calibration),Er. R. K. Shenoy (EMP-3841)
03-SV-756A,Unit 03 - PFCCU,Fluid Catalytic Cracking & PRU,Unit 03 - PFCCU ASME VIII Safety Relief Valve Loop #756,PID-MRPL-FCCU-756-REV4.2,ASME VIII Safety Relief Valve,barg,Pop Set Pressure,API 610 / API 682 / IEC 61508,Titanium Grade 2 Seamless,36,900# RTJ,946,793,225,162,SIL-3,2oo3,0.0,0.0,0.0,0.0,88.0,Fail Open (FO),TRUE,2024-05-29,2025-05-29,OPTIMAL (Normal In-Service Calibration),Er. M. B. Nayak (EMP-4102)
08-FT-757B,Unit 08 - SWRO,30 MLD Sea Water Desalination Facility,Unit 08 - SWRO Flow Transmitter Loop #757,PID-MRPL-SWRO-757-REV4.2,Flow Transmitter,MT/h,0 - 300 MT/h,API 610 / API 682 / IEC 61508,SA-387 Gr 11 Class 2 Alloy Steel,6,1500# RTJ,714,464,193,150,Non-SIL,1oo1,194.61,130.0,220.0,100.0,245.0,N/A,FALSE,2024-09-01,2025-09-01,OPTIMAL (Normal In-Service Calibration),Er. Sunita Patil (EMP-2490)
08-XV-758C,Unit 08 - SWRO,30 MLD Sea Water Desalination Facility,Unit 08 - SWRO Emergency Shutdown (ESD) Valve Loop #758,PID-MRPL-SWRO-758-REV4.2,Emergency Shutdown (ESD) Valve,Status,Trip Action Fast Stroke,API 610 / API 682 / IEC 61508,UNS S31803 2205 Duplex Stainless Steel,2,1500# RTJ,739,562,353,269,SIL-3,2oo3,1.05,0.0,1.0,0.0,1.0,Fail Closed (FC),TRUE,2024-08-06,2025-08-06,OPTIMAL (Normal In-Service Calibration),Er. Jane D'Souza (EMP-7102)
07-LT-759D,Unit 07 - SPM/COT,Single Point Mooring & Tank Farm,Unit 07 - SPM/COT Level Radar Transmitter Loop #759,PID-MRPL-SPM-759-REV4.2,Level Radar Transmitter,%,0 - 100 %,API 610 / API 682 / IEC 61508,ASTM A743 Gr CA6NM (12% Cr),36,1500# RTJ,1087,756,457,334,Non-SIL,1oo1,55.6,35.0,75.0,20.0,85.0,N/A,FALSE,2024-06-18,2025-06-18,OPTIMAL (Normal In-Service Calibration),Er. R. K. Shenoy (EMP-3841)
04-FT-760A,Unit 04 - HGU,Steam Methane Hydrogen Generation,Unit 04 - HGU Flow Transmitter Loop #760,PID-MRPL-HGU-760-REV4.2,Flow Transmitter,MT/h,0 - 300 MT/h,API 610 / API 682 / IEC 61508,SA-387 Gr 11 Class 2 Alloy Steel,20,2500# RTJ,1515,1256,477,396,SIL-1,1oo1,196.91,130.0,220.0,100.0,245.0,N/A,FALSE,2024-04-28,2025-04-28,OPTIMAL (Normal In-Service Calibration),Er. Sunita Patil (EMP-2490)
02-CV-761B,Unit 02 - DHDT,Diesel Hydrotreating Complex,Unit 02 - DHDT Pneumatic Control Valve Loop #761,PID-MRPL-DHDT-761-REV4.2,Pneumatic Control Valve,% Open,0 - 100 % Travel,API 610 / API 682 / IEC 61508,ASTM A216 Gr WCB Cast Steel,20,150# RF,989,704,249,183,SIL-1,1oo1,44.97,10.0,90.0,5.0,95.0,Fail Closed (FC),FALSE,2024-12-23,2025-12-23,ALERT (Scheduled Inspection Window),Er. M. B. Nayak (EMP-4102)
08-MOV-762C,Unit 08 - SWRO,30 MLD Sea Water Desalination Facility,Unit 08 - SWRO Motor Operated Isolation Valve Loop #762,PID-MRPL-SWRO-762-REV4.2,Motor Operated Isolation Valve,Status,Full Stroke Open/Close,API 610 / API 682 / IEC 61508,AISI 316L Stainless Steel,12,2500# RTJ,962,586,248,178,SIL-2,1oo2,1.07,0.0,1.0,0.0,1.0,Fail Locked (FL),TRUE,2024-07-22,2025-07-22,OPTIMAL (Normal In-Service Calibration),Er. Anand Rao (EMP-1829)
08-XV-763D,Unit 08 - SWRO,30 MLD Sea Water Desalination Facility,Unit 08 - SWRO Emergency Shutdown (ESD) Valve Loop #763,PID-MRPL-SWRO-763-REV4.2,Emergency Shutdown (ESD) Valve,Status,Trip Action Fast Stroke,API 610 / API 682 / IEC 61508,ASTM A216 Gr WCB Cast Steel,20,150# RF,1611,1349,191,149,SIL-2,1oo2,0.96,0.0,1.0,0.0,1.0,Fail Closed (FC),TRUE,2024-10-15,2025-10-15,ALERT (Scheduled Inspection Window),Er. R. K. Shenoy (EMP-3841)
02-FT-764A,Unit 02 - DHDT,Diesel Hydrotreating Complex,Unit 02 - DHDT Flow Transmitter Loop #764,PID-MRPL-DHDT-764-REV4.2,Flow Transmitter,MT/h,0 - 300 MT/h,API 610 / API 682 / IEC 61508,SA-387 Gr 11 Class 2 Alloy Steel,20,150# RF,494,305,510,358,Non-SIL,1oo1,178.29,130.0,220.0,100.0,245.0,N/A,FALSE,2024-05-25,2025-05-25,OPTIMAL (Normal In-Service Calibration),Er. Jane D'Souza (EMP-7102)
01-SV-765B,Unit 01 - CDU/VDU,Atmospheric & Vacuum Distillation,Unit 01 - CDU/VDU ASME VIII Safety Relief Valve Loop #765,PID-MRPL-CDU-765-REV4.2,ASME VIII Safety Relief Valve,barg,Pop Set Pressure,API 610 / API 682 / IEC 61508,SA-516 Gr 70 Boiler Quality,36,900# RTJ,1450,1164,448,367,SIL-3,2oo3,0.0,0.0,0.0,0.0,88.0,Fail Open (FO),TRUE,2024-11-14,2025-11-14,OPTIMAL (Normal In-Service Calibration),Er. S. P. Hegde (EMP-2914)
08-PT-766C,Unit 08 - SWRO,30 MLD Sea Water Desalination Facility,Unit 08 - SWRO Pressure Transmitter Loop #766,PID-MRPL-SWRO-766-REV4.2,Pressure Transmitter,barg,0 - 100 barg,API 610 / API 682 / IEC 61508,ASTM A106 Gr B Carbon Steel,48,150# RF,1721,1119,247,189,Non-SIL,1oo1,68.99,60.0,80.0,50.0,85.0,N/A,FALSE,2024-11-20,2025-11-20,CRITICAL (Immediate Turnaround Recalibration),Er. R. K. Shenoy (EMP-3841)
01-CV-767D,Unit 01 - CDU/VDU,Atmospheric & Vacuum Distillation,Unit 01 - CDU/VDU Pneumatic Control Valve Loop #767,PID-MRPL-CDU-767-REV4.2,Pneumatic Control Valve,% Open,0 - 100 % Travel,API 610 / API 682 / IEC 61508,SA-516 Gr 70 Boiler Quality,30,2500# RTJ,601,504,169,142,SIL-3,2oo3,51.06,10.0,90.0,5.0,95.0,Fail Closed (FC),TRUE,2024-10-12,2025-10-12,OPTIMAL (Normal In-Service Calibration),Er. R. K. Shenoy (EMP-3841)
07-SV-768A,Unit 07 - SPM/COT,Single Point Mooring & Tank Farm,Unit 07 - SPM/COT ASME VIII Safety Relief Valve Loop #768,PID-MRPL-SPM-768-REV4.2,ASME VIII Safety Relief Valve,barg,Pop Set Pressure,API 610 / API 682 / IEC 61508,ASTM A216 Gr WCB Cast Steel,10,600# RF,1429,931,397,306,SIL-2,1oo2,0.0,0.0,0.0,0.0,88.0,Fail Open (FO),TRUE,2024-09-09,2025-09-09,OPTIMAL (Normal In-Service Calibration),Er. S. P. Hegde (EMP-2914)
06-FT-769B,Unit 06 - PPU,Polypropylene Polymer Plant,Unit 06 - PPU Flow Transmitter Loop #769,PID-MRPL-PPU-769-REV4.2,Flow Transmitter,MT/h,0 - 300 MT/h,API 610 / API 682 / IEC 61508,ASTM A106 Gr B Carbon Steel,30,900# RTJ,174,121,354,261,SIL-1,1oo1,189.68,130.0,220.0,100.0,245.0,N/A,FALSE,2024-08-16,2025-08-16,OPTIMAL (Normal In-Service Calibration),Er. S. P. Hegde (EMP-2914)
01-TT-770C,Unit 01 - CDU/VDU,Atmospheric & Vacuum Distillation,Unit 01 - CDU/VDU Temperature Transmitter Loop #770,PID-MRPL-CDU-770-REV4.2,Temperature Transmitter,deg C,0 - 500 deg C,API 610 / API 682 / IEC 61508,SA-516 Gr 70 Boiler Quality,8,900# RTJ,358,278,525,461,Non-SIL,1oo1,380.19,310.0,385.0,270.0,410.0,N/A,FALSE,2024-10-10,2025-10-10,OPTIMAL (Normal In-Service Calibration),Er. R. K. Shenoy (EMP-3841)
06-MOV-771D,Unit 06 - PPU,Polypropylene Polymer Plant,Unit 06 - PPU Motor Operated Isolation Valve Loop #771,PID-MRPL-PPU-771-REV4.2,Motor Operated Isolation Valve,Status,Full Stroke Open/Close,API 610 / API 682 / IEC 61508,ASTM A743 Gr CA6NM (12% Cr),4,600# RF,1514,1090,291,204,SIL-1,1oo1,1.07,0.0,1.0,0.0,1.0,Fail Locked (FL),FALSE,2024-05-21,2025-05-21,OPTIMAL (Normal In-Service Calibration),Er. M. B. Nayak (EMP-4102)
04-SV-772A,Unit 04 - HGU,Steam Methane Hydrogen Generation,Unit 04 - HGU ASME VIII Safety Relief Valve Loop #772,PID-MRPL-HGU-772-REV4.2,ASME VIII Safety Relief Valve,barg,Pop Set Pressure,API 610 / API 682 / IEC 61508,ASTM A106 Gr B Carbon Steel,2,300# RF,782,515,339,283,SIL-3,2oo3,0.0,0.0,0.0,0.0,88.0,Fail Open (FO),TRUE,2024-12-06,2025-12-06,ALERT (Scheduled Inspection Window),Er. Anand Rao (EMP-1829)
05-LT-773B,Unit 05 - SRU,Sulfur Recovery & Tail Gas Treatment,Unit 05 - SRU Level Radar Transmitter Loop #773,PID-MRPL-SRU-773-REV4.2,Level Radar Transmitter,%,0 - 100 %,API 610 / API 682 / IEC 61508,ASTM A743 Gr CA6NM (12% Cr),6,900# RTJ,637,529,426,374,SIL-3,2oo3,54.5,35.0,75.0,20.0,85.0,N/A,TRUE,2024-07-21,2025-07-21,ALERT (Scheduled Inspection Window),Er. S. P. Hegde (EMP-2914)
01-SV-774C,Unit 01 - CDU/VDU,Atmospheric & Vacuum Distillation,Unit 01 - CDU/VDU ASME VIII Safety Relief Valve Loop #774,PID-MRPL-CDU-774-REV4.2,ASME VIII Safety Relief Valve,barg,Pop Set Pressure,API 610 / API 682 / IEC 61508,Titanium Grade 2 Seamless,8,2500# RTJ,619,502,289,220,SIL-3,2oo3,0.0,0.0,0.0,0.0,88.0,Fail Open (FO),TRUE,2024-12-09,2025-12-09,OPTIMAL (Normal In-Service Calibration),Er. M. B. Nayak (EMP-4102)
04-LT-775D,Unit 04 - HGU,Steam Methane Hydrogen Generation,Unit 04 - HGU Level Radar Transmitter Loop #775,PID-MRPL-HGU-775-REV4.2,Level Radar Transmitter,%,0 - 100 %,API 610 / API 682 / IEC 61508,Titanium Grade 2 Seamless,10,1500# RTJ,1055,799,153,131,SIL-2,1oo2,51.22,35.0,75.0,20.0,85.0,N/A,TRUE,2024-09-29,2025-09-29,ALERT (Scheduled Inspection Window),Er. Jane D'Souza (EMP-7102)
04-FT-776A,Unit 04 - HGU,Steam Methane Hydrogen Generation,Unit 04 - HGU Flow Transmitter Loop #776,PID-MRPL-HGU-776-REV4.2,Flow Transmitter,MT/h,0 - 300 MT/h,API 610 / API 682 / IEC 61508,ASTM A216 Gr WCB Cast Steel,24,300# RF,633,460,338,280,SIL-2,1oo2,179.42,130.0,220.0,100.0,245.0,N/A,TRUE,2024-09-26,2025-09-26,OPTIMAL (Normal In-Service Calibration),Er. Jane D'Souza (EMP-7102)
04-VT-777B,Unit 04 - HGU,Steam Methane Hydrogen Generation,Unit 04 - HGU Bearing Vibration Accelerometer Loop #777,PID-MRPL-HGU-777-REV4.2,Bearing Vibration Accelerometer,mm/s RMS,0 - 25 mm/s,API 610 / API 682 / IEC 61508,SA-387 Gr 11 Class 2 Alloy Steel,16,1500# RTJ,706,575,366,261,SIL-2,1oo2,2.37,1.0,4.5,0.5,7.0,N/A,TRUE,2024-06-16,2025-06-16,OPTIMAL (Normal In-Service Calibration),Er. Anand Rao (EMP-1829)
08-MOV-778C,Unit 08 - SWRO,30 MLD Sea Water Desalination Facility,Unit 08 - SWRO Motor Operated Isolation Valve Loop #778,PID-MRPL-SWRO-778-REV4.2,Motor Operated Isolation Valve,Status,Full Stroke Open/Close,API 610 / API 682 / IEC 61508,Incoloy 800H High Temp Alloy,36,1500# RTJ,1707,1090,526,413,Non-SIL,1oo1,1.04,0.0,1.0,0.0,1.0,Fail Locked (FL),FALSE,2024-06-01,2025-06-01,OPTIMAL (Normal In-Service Calibration),Er. S. P. Hegde (EMP-2914)
03-SV-779D,Unit 03 - PFCCU,Fluid Catalytic Cracking & PRU,Unit 03 - PFCCU ASME VIII Safety Relief Valve Loop #779,PID-MRPL-FCCU-779-REV4.2,ASME VIII Safety Relief Valve,barg,Pop Set Pressure,API 610 / API 682 / IEC 61508,ASTM A743 Gr CA6NM (12% Cr),12,600# RF,776,553,312,249,Non-SIL,1oo1,0.0,0.0,0.0,0.0,88.0,Fail Open (FO),TRUE,2024-07-19,2025-07-19,ALERT (Scheduled Inspection Window),Er. Anand Rao (EMP-1829)
04-FT-780A,Unit 04 - HGU,Steam Methane Hydrogen Generation,Unit 04 - HGU Flow Transmitter Loop #780,PID-MRPL-HGU-780-REV4.2,Flow Transmitter,MT/h,0 - 300 MT/h,API 610 / API 682 / IEC 61508,SA-516 Gr 70 Boiler Quality,2,150# RF,1156,810,332,288,SIL-1,1oo1,198.93,130.0,220.0,100.0,245.0,N/A,FALSE,2024-06-28,2025-06-28,OPTIMAL (Normal In-Service Calibration),Er. S. P. Hegde (EMP-2914)
02-MOV-781B,Unit 02 - DHDT,Diesel Hydrotreating Complex,Unit 02 - DHDT Motor Operated Isolation Valve Loop #781,PID-MRPL-DHDT-781-REV4.2,Motor Operated Isolation Valve,Status,Full Stroke Open/Close,API 610 / API 682 / IEC 61508,ASTM A106 Gr B Carbon Steel,12,150# RF,547,432,250,209,SIL-2,1oo2,1.04,0.0,1.0,0.0,1.0,Fail Locked (FL),TRUE,2024-07-11,2025-07-11,OPTIMAL (Normal In-Service Calibration),Er. Anand Rao (EMP-1829)
06-PT-782C,Unit 06 - PPU,Polypropylene Polymer Plant,Unit 06 - PPU Pressure Transmitter Loop #782,PID-MRPL-PPU-782-REV4.2,Pressure Transmitter,barg,0 - 100 barg,API 610 / API 682 / IEC 61508,Titanium Grade 2 Seamless,36,900# RTJ,646,464,536,410,SIL-2,1oo2,74.38,60.0,80.0,50.0,85.0,N/A,TRUE,2024-12-22,2025-12-22,OPTIMAL (Normal In-Service Calibration),Er. M. B. Nayak (EMP-4102)
03-VT-783D,Unit 03 - PFCCU,Fluid Catalytic Cracking & PRU,Unit 03 - PFCCU Bearing Vibration Accelerometer Loop #783,PID-MRPL-FCCU-783-REV4.2,Bearing Vibration Accelerometer,mm/s RMS,0 - 25 mm/s,API 610 / API 682 / IEC 61508,UNS S31803 2205 Duplex Stainless Steel,4,2500# RTJ,656,492,459,390,SIL-1,1oo1,2.03,1.0,4.5,0.5,7.0,N/A,FALSE,2024-11-19,2025-11-19,OPTIMAL (Normal In-Service Calibration),Er. Anand Rao (EMP-1829)
07-AT-784A,Unit 07 - SPM/COT,Single Point Mooring & Tank Farm,Unit 07 - SPM/COT Online Gas Analyzer (H2S/O2/CO) Loop #784,PID-MRPL-SPM-784-REV4.2,Online Gas Analyzer (H2S/O2/CO),ppm,0 - 500 ppm,API 610 / API 682 / IEC 61508,ASTM A216 Gr WCB Cast Steel,6,1500# RTJ,489,394,249,205,Non-SIL,1oo1,5.2,0.0,15.0,0.0,50.0,N/A,FALSE,2024-04-08,2025-04-08,OPTIMAL (Normal In-Service Calibration),Er. Anand Rao (EMP-1829)
05-MOV-785B,Unit 05 - SRU,Sulfur Recovery & Tail Gas Treatment,Unit 05 - SRU Motor Operated Isolation Valve Loop #785,PID-MRPL-SRU-785-REV4.2,Motor Operated Isolation Valve,Status,Full Stroke Open/Close,API 610 / API 682 / IEC 61508,ASTM A216 Gr WCB Cast Steel,30,150# RF,1817,1155,503,371,SIL-1,1oo1,1.04,0.0,1.0,0.0,1.0,Fail Locked (FL),FALSE,2024-08-01,2025-08-01,CRITICAL (Immediate Turnaround Recalibration),Er. Jane D'Souza (EMP-7102)
08-PT-786C,Unit 08 - SWRO,30 MLD Sea Water Desalination Facility,Unit 08 - SWRO Pressure Transmitter Loop #786,PID-MRPL-SWRO-786-REV4.2,Pressure Transmitter,barg,0 - 100 barg,API 610 / API 682 / IEC 61508,ASTM A216 Gr WCB Cast Steel,48,150# RF,1225,862,267,222,Non-SIL,1oo1,68.21,60.0,80.0,50.0,85.0,N/A,FALSE,2024-06-28,2025-06-28,OPTIMAL (Normal In-Service Calibration),Er. Jane D'Souza (EMP-7102)
04-XV-787D,Unit 04 - HGU,Steam Methane Hydrogen Generation,Unit 04 - HGU Emergency Shutdown (ESD) Valve Loop #787,PID-MRPL-HGU-787-REV4.2,Emergency Shutdown (ESD) Valve,Status,Trip Action Fast Stroke,API 610 / API 682 / IEC 61508,ASTM A743 Gr CA6NM (12% Cr),3,1500# RTJ,1311,1053,215,158,Non-SIL,1oo1,1.04,0.0,1.0,0.0,1.0,Fail Closed (FC),TRUE,2024-09-29,2025-09-29,OPTIMAL (Normal In-Service Calibration),Er. Anand Rao (EMP-1829)
08-AT-788A,Unit 08 - SWRO,30 MLD Sea Water Desalination Facility,Unit 08 - SWRO Online Gas Analyzer (H2S/O2/CO) Loop #788,PID-MRPL-SWRO-788-REV4.2,Online Gas Analyzer (H2S/O2/CO),ppm,0 - 500 ppm,API 610 / API 682 / IEC 61508,ASTM A216 Gr WCB Cast Steel,4,2500# RTJ,750,466,183,137,SIL-3,2oo3,5.07,0.0,15.0,0.0,50.0,N/A,TRUE,2024-09-07,2025-09-07,OPTIMAL (Normal In-Service Calibration),Er. M. B. Nayak (EMP-4102)
02-PT-789B,Unit 02 - DHDT,Diesel Hydrotreating Complex,Unit 02 - DHDT Pressure Transmitter Loop #789,PID-MRPL-DHDT-789-REV4.2,Pressure Transmitter,barg,0 - 100 barg,API 610 / API 682 / IEC 61508,ASTM A106 Gr B Carbon Steel,48,600# RF,1512,1127,141,101,SIL-3,2oo3,72.26,60.0,80.0,50.0,85.0,N/A,TRUE,2025-01-02,2026-01-02,OPTIMAL (Normal In-Service Calibration),Er. Sunita Patil (EMP-2490)
05-XV-790C,Unit 05 - SRU,Sulfur Recovery & Tail Gas Treatment,Unit 05 - SRU Emergency Shutdown (ESD) Valve Loop #790,PID-MRPL-SRU-790-REV4.2,Emergency Shutdown (ESD) Valve,Status,Trip Action Fast Stroke,API 610 / API 682 / IEC 61508,UNS S31803 2205 Duplex Stainless Steel,24,600# RF,839,581,295,259,Non-SIL,1oo1,1.05,0.0,1.0,0.0,1.0,Fail Closed (FC),TRUE,2024-07-05,2025-07-05,OPTIMAL (Normal In-Service Calibration),Er. Anand Rao (EMP-1829)
01-CV-791D,Unit 01 - CDU/VDU,Atmospheric & Vacuum Distillation,Unit 01 - CDU/VDU Pneumatic Control Valve Loop #791,PID-MRPL-CDU-791-REV4.2,Pneumatic Control Valve,% Open,0 - 100 % Travel,API 610 / API 682 / IEC 61508,AISI 316L Stainless Steel,2,150# RF,1580,1106,547,470,Non-SIL,1oo1,45.7,10.0,90.0,5.0,95.0,Fail Closed (FC),FALSE,2024-11-04,2025-11-04,OPTIMAL (Normal In-Service Calibration),Er. S. P. Hegde (EMP-2914)
04-CV-792A,Unit 04 - HGU,Steam Methane Hydrogen Generation,Unit 04 - HGU Pneumatic Control Valve Loop #792,PID-MRPL-HGU-792-REV4.2,Pneumatic Control Valve,% Open,0 - 100 % Travel,API 610 / API 682 / IEC 61508,UNS S31803 2205 Duplex Stainless Steel,30,1500# RTJ,1204,846,216,151,Non-SIL,1oo1,49.57,10.0,90.0,5.0,95.0,Fail Closed (FC),FALSE,2024-07-25,2025-07-25,CRITICAL (Immediate Turnaround Recalibration),Er. S. P. Hegde (EMP-2914)
01-CV-793B,Unit 01 - CDU/VDU,Atmospheric & Vacuum Distillation,Unit 01 - CDU/VDU Pneumatic Control Valve Loop #793,PID-MRPL-CDU-793-REV4.2,Pneumatic Control Valve,% Open,0 - 100 % Travel,API 610 / API 682 / IEC 61508,UNS S31803 2205 Duplex Stainless Steel,24,300# RF,969,760,526,375,Non-SIL,1oo1,47.94,10.0,90.0,5.0,95.0,Fail Closed (FC),FALSE,2024-05-07,2025-05-07,OPTIMAL (Normal In-Service Calibration),Er. M. B. Nayak (EMP-4102)
02-MOV-794C,Unit 02 - DHDT,Diesel Hydrotreating Complex,Unit 02 - DHDT Motor Operated Isolation Valve Loop #794,PID-MRPL-DHDT-794-REV4.2,Motor Operated Isolation Valve,Status,Full Stroke Open/Close,API 610 / API 682 / IEC 61508,SA-387 Gr 11 Class 2 Alloy Steel,6,1500# RTJ,1215,995,521,445,SIL-2,1oo2,1.0,0.0,1.0,0.0,1.0,Fail Locked (FL),TRUE,2024-11-01,2025-11-01,OPTIMAL (Normal In-Service Calibration),Er. R. K. Shenoy (EMP-3841)
05-SV-795D,Unit 05 - SRU,Sulfur Recovery & Tail Gas Treatment,Unit 05 - SRU ASME VIII Safety Relief Valve Loop #795,PID-MRPL-SRU-795-REV4.2,ASME VIII Safety Relief Valve,barg,Pop Set Pressure,API 610 / API 682 / IEC 61508,UNS S31803 2205 Duplex Stainless Steel,16,300# RF,1137,870,243,180,SIL-3,2oo3,0.0,0.0,0.0,0.0,88.0,Fail Open (FO),TRUE,2024-11-21,2025-11-21,ALERT (Scheduled Inspection Window),Er. M. B. Nayak (EMP-4102)
01-FT-796A,Unit 01 - CDU/VDU,Atmospheric & Vacuum Distillation,Unit 01 - CDU/VDU Flow Transmitter Loop #796,PID-MRPL-CDU-796-REV4.2,Flow Transmitter,MT/h,0 - 300 MT/h,API 610 / API 682 / IEC 61508,AISI 316L Stainless Steel,48,900# RTJ,601,468,460,361,SIL-1,1oo1,196.77,130.0,220.0,100.0,245.0,N/A,FALSE,2024-11-03,2025-11-03,OPTIMAL (Normal In-Service Calibration),Er. Sunita Patil (EMP-2490)
08-TT-797B,Unit 08 - SWRO,30 MLD Sea Water Desalination Facility,Unit 08 - SWRO Temperature Transmitter Loop #797,PID-MRPL-SWRO-797-REV4.2,Temperature Transmitter,deg C,0 - 500 deg C,API 610 / API 682 / IEC 61508,AISI 316L Stainless Steel,24,300# RF,1468,1006,487,406,SIL-3,2oo3,372.96,310.0,385.0,270.0,410.0,N/A,TRUE,2024-03-24,2025-03-24,OPTIMAL (Normal In-Service Calibration),Er. Anand Rao (EMP-1829)
04-LT-798C,Unit 04 - HGU,Steam Methane Hydrogen Generation,Unit 04 - HGU Level Radar Transmitter Loop #798,PID-MRPL-HGU-798-REV4.2,Level Radar Transmitter,%,0 - 100 %,API 610 / API 682 / IEC 61508,SA-387 Gr 11 Class 2 Alloy Steel,8,150# RF,378,235,499,402,SIL-3,2oo3,52.26,35.0,75.0,20.0,85.0,N/A,TRUE,2024-11-07,2025-11-07,OPTIMAL (Normal In-Service Calibration),Er. Jane D'Souza (EMP-7102)
06-MOV-799D,Unit 06 - PPU,Polypropylene Polymer Plant,Unit 06 - PPU Motor Operated Isolation Valve Loop #799,PID-MRPL-PPU-799-REV4.2,Motor Operated Isolation Valve,Status,Full Stroke Open/Close,API 610 / API 682 / IEC 61508,ASTM A106 Gr B Carbon Steel,2,600# RF,944,797,283,237,SIL-2,1oo2,1.05,0.0,1.0,0.0,1.0,Fail Locked (FL),TRUE,2024-11-02,2025-11-02,OPTIMAL (Normal In-Service Calibration),Er. Sunita Patil (EMP-2490)
